Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,58.485714,58.928570,58.428570,58.747143,50.765709,75555200
2012-01-04,58.571430,59.240002,58.468571,59.062859,51.038536,65005500
2012-01-05,59.278572,59.792858,58.952858,59.718571,51.605175,67817400
2012-01-06,59.967144,60.392857,59.888573,60.342857,52.144630,79573200
2012-01-09,60.785713,61.107143,60.192856,60.247143,52.061932,98506100
2012-01-10,60.844284,60.857143,60.214287,60.462856,52.248333,64549100
2012-01-11,60.382858,60.407143,59.901428,60.364285,52.163139,53771200
2012-01-12,60.325714,60.414288,59.821430,60.198570,52.019955,53146800
2012-01-13,59.957142,60.064285,59.808571,59.972858,51.824898,56505400
2012-01-17,60.599998,60.855713,60.422855,60.671429,52.428562,60724300
2012-01-18,60.994286,61.352856,60.900002,61.301430,52.972977,69197800
2012-01-19,61.450001,61.624287,60.930000,61.107143,52.805092,65434600
2012-01-20,61.070000,61.071430,59.964287,60.042858,51.885387,103493600
2012-01-23,60.381428,61.207142,60.328571,61.058571,52.763115,76515600
2012-01-24,60.728573,60.728573,59.935715,60.058571,51.898972,136909500
2012-01-25,64.919998,64.921425,63.389999,63.808571,55.139496,239578500
2012-01-26,64.051430,64.112854,63.305714,63.518570,54.888889,80996300
2012-01-27,63.477142,64.068573,63.395714,63.897144,55.216022,74927300
2012-01-30,63.672855,64.842857,63.627144,64.715714,55.923389,94835300
2012-01-31,65.084282,65.462860,64.724289,65.211426,56.351761,97920900
2012-02-01,65.487144,65.570000,65.078575,65.169998,56.315968,67511500
2012-02-02,65.128571,65.309998,64.854286,65.017143,56.183865,46699100
2012-02-03,65.328575,65.714287,65.080002,65.668571,56.746796,71649900
2012-02-06,65.482857,66.425713,65.457146,66.281425,57.276386,62353200
2012-02-07,66.464287,67.107140,66.368568,66.975716,57.876339,79055900
2012-02-08,67.214287,68.112854,67.099998,68.097145,58.845402,101972500
2012-02-09,68.680000,70.964287,68.651428,70.452858,60.881111,221053700
2012-02-10,70.137146,71.088570,69.792854,70.488571,60.911942,157825500
2012-02-13,71.361427,71.975716,71.012856,71.800003,62.045200,129304000
2012-02-14,72.094284,72.794289,71.714287,72.779999,62.892056,115099600
2012-02-15,73.465714,75.184288,70.984283,71.095711,61.436600,376530000
2012-02-16,70.214287,72.127144,69.518570,71.744286,61.997032,236138000
2012-02-17,71.872856,72.538574,71.471428,71.731430,61.985954,133951300
2012-02-21,72.411430,73.550003,72.017143,73.550003,63.557446,151398800
2012-02-22,73.297142,73.641426,72.724289,73.291428,63.334015,120825600
2012-02-23,73.582855,73.975716,72.785713,73.769997,63.747555,142006900
2012-02-24,74.238571,74.699997,74.091431,74.629997,64.490730,103768000
2012-02-27,74.472855,75.500000,73.754288,75.108574,64.904282,136895500
2012-02-28,75.422859,76.487144,75.121429,76.487144,66.095551,150096800
2012-02-29,77.365715,78.230003,76.528572,77.491432,66.963387,238002800
2012-03-01,78.309998,78.315712,76.967140,77.781425,67.213989,170817500
2012-03-02,77.748573,78.114288,77.502853,77.882858,67.301636,107928100
2012-03-05,77.917145,78.211426,75.142860,76.165718,65.817802,202281100
2012-03-06,74.808571,76.241432,73.745712,75.751427,65.459801,202559700
2012-03-07,76.685715,76.825714,74.757141,75.812859,65.512878,199630200
2012-03-08,76.384285,77.570000,76.017143,77.427139,66.907837,129114300
2012-03-09,77.744286,78.248573,77.587143,77.881432,67.300438,104729800
2012-03-12,78.425713,78.857140,78.142860,78.857140,68.143532,101820600
2012-03-13,79.648575,81.168571,79.392860,81.157143,70.131050,172713800
2012-03-14,82.578575,84.959999,82.199997,84.225716,72.782761,354711000
2012-03-15,85.658569,85.715714,82.650002,83.651428,72.286484,289929500
2012-03-16,83.531425,84.171425,82.571426,83.652855,72.287727,206371900
2012-03-19,85.481430,85.967140,84.150002,85.871429,74.204872,225309000
